Video ID,Segment ID,Modality,Start frame,End frame,Start time(s),End time(s),Violence Type (Video),Violence label(video),Video Type,Violence Type (Text),Texts,Memo,Violence(Sound) Type1,Sound type1,sound_start_frame1,sound_end_frame1,Violence(Sound) Type2,Sound type2,sound_start_frame2,sound_end_frame2,Violence(Sound) Type3,Sound type3,sound_start_frame3,sound_end_frame3,Violence(Sound) Type4,Sound type4,sound_start_frame4,sound_end_frame4,Violence(Sound) Type5,Sound type5,sound_start_frame5,sound_end_frame5,Violence(Sound) Type6,Sound type6,sound_start_frame6,sound_end_frame6,Violence(Sound) Type7,Sound type7,sound_start_frame7,sound_end_frame7,Violence(Sound) Type8,Sound type8,sound_start_frame8,sound_end_frame8,Violence(Sound) Type9,Sound type9,sound_start_frame9,sound_end_frame9,Violence(Sound) Type10,Sound type10,sound_start_frame10,sound_end_frame10,Violence(Sound) Type11,Sound type11,sound_start_frame11,sound_end_frame11,Filename,Segment Position
1,1_11,"Multimodal(Video, Text)",1846,1959,61.59,65.37,non-violent,0,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,11
1,1_12,Unimodal(Video),1960,2129,65.4,71.04,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,12
1,1_13,Unimodal(Video),2130,2133,71.07,71.17,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,13
1,1_14,Unimodal(Video),2134,2334,71.2,77.88,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,14
10,10_1,Unimodal(Video),0,83,0,2.77,non-violent,0,Self-filmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,1
10,10_2,"Multimodal(Video, Text)",84,87,2.8,2.9,non-violent,0,Self-filmed,Violent,ATTACKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,2
10,10_3,"Multimodal(Video, Text)",88,184,2.94,6.14,non-violent,0,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,3
10,10_4,"Multimodal(Video, Text)",185,185,6.17,6.17,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,4
10,10_5,"Multimodal(Video, Text)",186,490,6.21,16.35,non-violent,0,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,5
10,10_6,"Multimodal(Video, Text)",491,708,16.38,23.62,non-violent,0,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,6
10,10_7,"Multimodal(Video, Text)",716,737,23.89,24.59,non-violent,0,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,7
10,10_8,Unimodal(Video),738,877,24.62,29.26,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,8
10,10_9,"Multimodal(Video, Text)",878,907,29.3,30.26,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,9
10,10_10,"Multimodal(Video, Text)",908,1171,30.3,39.07,non-violent,0,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,10
10,10_11,"Multimodal(Video, Text)",1172,1966,39.11,65.6,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,11
10,10_12,"Multimodal(Video, Text)",1967,2116,65.63,70.6,non-violent,0,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,12
10,10_13,"Multimodal(Video, Text)",2117,2319,70.64,77.38,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,13
10,10_14,"Multimodal(Video, Text)",2324,2425,77.54,80.91,none,,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,14
10,10_15,Unimodal(Video),2426,2696,80.95,89.96,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,15
11,11_1,Unimodal(Video),0,108,0,3.6,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,1
11,11_2,"Multimodal(Video, Text)",109,468,3.64,15.62,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,2
11,11_3,Unimodal(Video),469,483,15.65,16.12,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,3
11,11_4,"Multimodal(Video, Text)",484,685,16.15,22.86,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,4
11,11_5,"Multimodal(Video, Text)",686,874,22.89,29.16,none,,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,5
11,11_6,"Multimodal(Video, Text)",875,977,29.2,32.6,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,6
11,11_7,"Multimodal(Video, Text)",978,1265,32.63,42.21,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,7
11,11_8,"Multimodal(Video, Text)",1266,1333,42.24,44.48,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,8
11,11_9,"Multimodal(Video, Text)",1334,1681,44.51,56.09,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,9
11,11_10,"Multimodal(Video, Text)",1682,1750,56.12,58.39,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,10
11,11_11,"Multimodal(Video, Text)",1751,1845,58.43,61.56,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,11
11,11_12,"Multimodal(Video, Text)",1846,1930,61.59,64.4,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,12
11,11_13,"Multimodal(Video, Text)",1931,1949,64.43,65.03,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,13
11,11_14,Unimodal(Video),1950,2073,65.06,69.17,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,14
11,11_15,Unimodal(Video),2074,2098,69.2,70,non-violent,0,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,15
11,11_16,Unimodal(Video),2099,2357,70.04,78.65,violent,1,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,16
11,11_17,Unimodal(Video),2358,2495,78.68,83.25,violent,1,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,17
11,11_18,Unimodal(Video),2496,2764,83.28,92.23,non-violent,0,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,18
11,11_19,Unimodal(Video),2765,2901,92.26,96.8,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,19
11,11_20,Unimodal(Video),2902,2912,96.83,97.16,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,20
11,11_21,"Multimodal(Video, Text)",2913,3035,97.2,101.27,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,21
11,11_22,"Multimodal(Video, Text)",3036,3721,101.3,124.16,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,22
11,11_23,Unimodal(Video),3722,3736,124.19,124.66,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,23
12,12_1,Unimodal(Video),0,4,0,0.13,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,1
12,12_3,"Multimodal(Video, Sound)",60,209,2,6.97,non-violent,0,Dashcam,,,,Violent,Shouting,180,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,3
12,12_4,"Multimodal(Video, Sound)",210,474,7.01,15.82,violent,1,Dashcam,,,,Violent,Shouting,210,450,Violent,Shouting,365,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,4
12,12_5,"Multimodal(Video, Sound)",475,909,15.85,30.33,non-violent,0,Dashcam,,,,Violent,Shouting,475,487,Violent,Shouting,639,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,5
12,12_6,"Multimodal(Video, Sound)",910,1297,30.36,43.28,violent,1,Dashcam,,,,Violent,Shouting,910,943,Violent,Shouting,1277,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,6
12,12_7,"Multimodal(Video, Sound)",1298,2567,43.31,85.65,non-violent,0,Dashcam,,,,Violent,Shouting,1298,1460,Violent,Shouting,1946,1977,Violent,Shouting,2220,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,7
12,12_8,Unimodal(Video),2568,2572,85.69,85.82,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,8
13,13_1,"Multimodal(Video, Sound)",0,450,0,18,non-violent,0,Self-filmed,,,,Violent,Shouting,375,450,Violent,Others,125,150,Violent,Shouting,200,250,Violent,Others,400,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,1
13,13_2,"Multimodal(Video, Sound)",451,1629,18.04,65.16,violent,1,Self-filmed,,,,Violent,Shouting,451,1575,Violent,Shouting,1600,1629,Violent,Shouting,525,1125,Violent,Shouting,1175,1325,Violent,Shouting,1375,1450,Violent,Shouting,1500,125,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,2
13,13_3,"Multimodal(Video, Sound)",1630,1915,65.2,76.6,violent,1,Self-filmed,,,,Violent,Shouting,1630,1900,Violent,Shouting,1750,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,3
14,14_1,Unimodal(Video),0,102,0,3.4,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1
14,14_2,Unimodal(Video),103,637,3.44,21.25,non-violent,0,Combination,,,News+CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,2
14,14_3,Unimodal(Video),638,777,21.29,25.93,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3
14,14_4,Unimodal(Video),778,850,25.96,28.36,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,4
14,14_5,Unimodal(Video),851,953,28.4,31.8,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,5
14,14_6,Unimodal(Video),954,1050,31.83,35.04,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,6
14,14_7,Unimodal(Video),1051,1221,35.07,40.74,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,7
14,14_8,Unimodal(Video),1227,1432,40.94,47.78,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,8
14,14_9,Unimodal(Video),1433,1502,47.81,50.12,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,9
14,14_10,Unimodal(Video),1503,1563,50.15,52.15,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,10
14,14_11,Unimodal(Video),1564,2379,52.19,79.38,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,11
14,14_12,Unimodal(Video),2380,2449,79.41,81.72,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,12
14,14_13,Unimodal(Video),2450,3099,81.75,103.4,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,13
14,14_14,Unimodal(Video),3100,3318,103.44,110.71,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,14
14,14_15,Unimodal(Video),3319,3539,110.74,118.08,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,15
14,14_16,Unimodal(Video),3540,3739,118.12,124.76,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,16
14,14_17,Unimodal(Video),3740,3836,124.79,127.99,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,17
15,15_1,Unimodal(Video),0,91,0,3.04,none,,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,1
15,15_2,Unimodal(Video),92,1180,3.07,39.37,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,2
15,15_3,Unimodal(Video),1181,1370,39.41,45.71,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,3
15,15_4,Unimodal(Video),1371,1426,45.75,47.58,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,4
15,15_5,Unimodal(Video),1427,2000,47.61,66.73,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,5
16,16_1,Unimodal(Video),0,7,0,0.28,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,1
16,16_2,Unimodal(Video),8,200,0.32,8,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,2
16,16_3,Unimodal(Video),201,693,8.04,27.72,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,3
16,16_4,Unimodal(Video),697,697,27.88,27.88,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,4
16,16_5,Unimodal(Video),703,732,28.12,29.28,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,5
16,16_6,Unimodal(Video),733,764,29.32,30.56,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,6
16,16_7,Unimodal(Video),765,980,30.6,39.2,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,7
16,16_8,Unimodal(Video),981,1347,39.24,53.88,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,8
16,16_9,Unimodal(Video),1348,1405,53.92,56.2,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,9
16,16_10,Unimodal(Video),1406,1487,56.24,59.48,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,10
16,16_11,Unimodal(Video),1488,1798,59.52,71.92,none,,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,11
17,17_1,Unimodal(Video),0,191,0,6.37,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,1
17,17_2,Unimodal(Video),192,418,6.41,13.95,none,,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,2
17,17_3,Unimodal(Video),419,952,13.98,31.77,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,3
17,17_4,Unimodal(Video),968,1179,32.3,39.34,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,4
17,17_5,Unimodal(Video),1180,1264,39.37,42.18,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,5
17,17_6,Unimodal(Video),1265,1345,42.21,44.88,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,6
17,17_7,Unimodal(Video),1346,1691,44.91,56.42,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,7
17,17_8,Unimodal(Video),1692,1784,56.46,59.53,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,8
17,17_9,Unimodal(Video),1785,2112,59.56,70.47,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,9
17,17_10,Unimodal(Video),2113,2760,70.5,92.09,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,10
18,18_1,Unimodal(Video),0,570,0,19.02,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_Attack on store clerk caught on camera.mp4,1
18,18_2,Unimodal(Video),578,1638,19.29,54.65,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_Attack on store clerk caught on camera.mp4,2
18,18_3,Unimodal(Video),1643,2035,54.82,67.9,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_Attack on store clerk caught on camera.mp4,3
18,18_4,Unimodal(Video),2046,2184,68.27,72.87,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18_Attack on store clerk caught on camera.mp4,4
