Video ID,Segment ID,Modality,Start frame,End frame,Duration(frames),Start time(s),End time(s),Duration(s),Violence Type (Video),Violence label(video),Video Type,Violence Type (Text),Texts,Memo,Violence(Sound) Type1,Sound type1,sound_start_frame1,sound_end_frame1,Violence(Sound) Type2,Sound type2,sound_start_frame2,sound_end_frame2,Violence(Sound) Type3,Sound type3,sound_start_frame3,sound_end_frame3,Violence(Sound) Type4,Sound type4,sound_start_frame4,sound_end_frame4,Violence(Sound) Type5,Sound type5,sound_start_frame5,sound_end_frame5,Violence(Sound) Type6,Sound type6,sound_start_frame6,sound_end_frame6,Violence(Sound) Type7,Sound type7,sound_start_frame7,sound_end_frame7,Violence(Sound) Type8,Sound type8,sound_start_frame8,sound_end_frame8,Violence(Sound) Type9,Sound type9,sound_start_frame9,sound_end_frame9,Violence(Sound) Type10,Sound type10,sound_start_frame10,sound_end_frame10,Violence(Sound) Type11,Sound type11,sound_start_frame11,sound_end_frame11,Filename,Segment Position
1,1_11,"Multimodal(Video, Text)",1846,1959,114,61.59,65.37,3.78,non-violent,0,CCTV,Violent,"BATTLE, BAT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,11
1,1_12,Unimodal(Video),1960,2129,170,65.4,71.04,5.64,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,12
1,1_13,Unimodal(Video),2130,2133,4,71.07,71.17,0.1,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,13
1,1_14,Unimodal(Video),2134,2334,201,71.2,77.88,6.68,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1_Violent attack caught on camera at San Bernardino convenience store.mp4,14
10,10_1,Unimodal(Video),0,83,84,0,2.77,2.77,non-violent,0,Self-filmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,1
10,10_2,"Multimodal(Video, Text)",84,87,4,2.8,2.9,0.1,non-violent,0,Self-filmed,Violent,ATTACKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,2
10,10_3,"Multimodal(Video, Text)",88,184,97,2.94,6.14,3.2,non-violent,0,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,3
10,10_4,"Multimodal(Video, Text)",185,185,1,6.17,6.17,0,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,4
10,10_5,"Multimodal(Video, Text)",186,490,305,6.21,16.35,10.14,non-violent,0,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,5
10,10_6,"Multimodal(Video, Text)",491,708,218,16.38,23.62,7.24,non-violent,0,Self-filmed,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,6
10,10_7,"Multimodal(Video, Text)",716,737,22,23.89,24.59,0.7,non-violent,0,News,Violent,"ATTACKED, CHAOTIC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,7
10,10_8,Unimodal(Video),738,877,140,24.62,29.26,4.64,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,8
10,10_9,"Multimodal(Video, Text)",878,907,30,29.3,30.26,0.96,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,9
10,10_10,"Multimodal(Video, Text)",908,1171,264,30.3,39.07,8.77,non-violent,0,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,10
10,10_11,"Multimodal(Video, Text)",1172,1966,795,39.11,65.6,26.49,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,11
10,10_12,"Multimodal(Video, Text)",1967,2116,150,65.63,70.6,4.97,non-violent,0,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,12
10,10_13,"Multimodal(Video, Text)",2117,2319,203,70.64,77.38,6.74,non-violent,0,News,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,13
10,10_14,"Multimodal(Video, Text)",2324,2425,102,77.54,80.91,3.37,none,,Self-filmed,Violent,VIOLENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,14
10,10_15,Unimodal(Video),2426,2696,271,80.95,89.96,9.01,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10_Violent street takeover caught on camera.mp4,15
11,11_1,Unimodal(Video),0,108,109,0,3.6,3.6,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,1
11,11_2,"Multimodal(Video, Text)",109,468,360,3.64,15.62,11.98,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,2
11,11_3,Unimodal(Video),469,483,15,15.65,16.12,0.47,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,3
11,11_4,"Multimodal(Video, Text)",484,685,202,16.15,22.86,6.71,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,4
11,11_5,"Multimodal(Video, Text)",686,874,189,22.89,29.16,6.27,none,,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,5
11,11_6,"Multimodal(Video, Text)",875,977,103,29.2,32.6,3.4,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,6
11,11_7,"Multimodal(Video, Text)",978,1265,288,32.63,42.21,9.58,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,7
11,11_8,"Multimodal(Video, Text)",1266,1333,68,42.24,44.48,2.24,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,8
11,11_9,"Multimodal(Video, Text)",1334,1681,348,44.51,56.09,11.58,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,9
11,11_10,"Multimodal(Video, Text)",1682,1750,69,56.12,58.39,2.27,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,10
11,11_11,"Multimodal(Video, Text)",1751,1845,95,58.43,61.56,3.13,non-violent,0,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,11
11,11_12,"Multimodal(Video, Text)",1846,1930,85,61.59,64.4,2.81,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,12
11,11_13,"Multimodal(Video, Text)",1931,1949,19,64.43,65.03,0.6,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,13
11,11_14,Unimodal(Video),1950,2073,124,65.06,69.17,4.11,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,14
11,11_15,Unimodal(Video),2074,2098,25,69.2,70,0.8,non-violent,0,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,15
11,11_16,Unimodal(Video),2099,2357,259,70.04,78.65,8.61,violent,1,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,16
11,11_17,Unimodal(Video),2358,2495,138,78.68,83.25,4.57,violent,1,CCTV,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,17
11,11_18,Unimodal(Video),2496,2764,269,83.28,92.23,8.95,non-violent,0,News,,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,18
11,11_19,Unimodal(Video),2765,2901,137,92.26,96.8,4.54,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,19
11,11_20,Unimodal(Video),2902,2912,11,96.83,97.16,0.33,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,20
11,11_21,"Multimodal(Video, Text)",2913,3035,123,97.2,101.27,4.07,violent,1,CCTV,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,21
11,11_22,"Multimodal(Video, Text)",3036,3721,686,101.3,124.16,22.86,non-violent,0,News,Violent,ASSAULT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,22
11,11_23,Unimodal(Video),3722,3736,15,124.19,124.66,0.47,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11_Domestic assault caught on tape.mp4,23
12,12_1,Unimodal(Video),0,4,5,0,0.13,0.13,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,1
12,12_3,"Multimodal(Video, Sound)",60,209,150,2,6.97,4.97,non-violent,0,Dashcam,,,,Violent,Shouting,180,209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,3
12,12_4,"Multimodal(Video, Sound)",210,474,265,7.01,15.82,8.81,violent,1,Dashcam,,,,Violent,Shouting,210,450,Violent,Shouting,365,474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,4
12,12_5,"Multimodal(Video, Sound)",475,909,435,15.85,30.33,14.48,non-violent,0,Dashcam,,,,Violent,Shouting,475,487,Violent,Shouting,639,909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,5
12,12_6,"Multimodal(Video, Sound)",910,1297,388,30.36,43.28,12.92,violent,1,Dashcam,,,,Violent,Shouting,910,943,Violent,Shouting,1277,1297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,6
12,12_7,"Multimodal(Video, Sound)",1298,2567,1270,43.31,85.65,42.34,non-violent,0,Dashcam,,,,Violent,Shouting,1298,1460,Violent,Shouting,1946,1977,Violent,Shouting,2220,2342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,7
12,12_8,Unimodal(Video),2568,2572,5,85.69,85.82,0.13,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12_Watch as cab robbery gets interrupted by police.mp4,8
13,13_1,"Multimodal(Video, Sound)",0,450,451,0,18,18,non-violent,0,Self-filmed,,,,Violent,Shouting,375,450,Violent,Others,125,150,Violent,Shouting,200,250,Violent,Others,400,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,1
13,13_2,"Multimodal(Video, Sound)",451,1629,1179,18.04,65.16,47.12,violent,1,Self-filmed,,,,Violent,Shouting,451,1575,Violent,Shouting,1600,1629,Violent,Shouting,525,1125,Violent,Shouting,1175,1325,Violent,Shouting,1375,1450,Violent,Shouting,1500,125,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,2
13,13_3,"Multimodal(Video, Sound)",1630,1915,286,65.2,76.6,11.4,violent,1,Self-filmed,,,,Violent,Shouting,1630,1900,Violent,Shouting,1750,1875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13_Dramatic moment UK armed cops swoop in on Audi in North London.mp4,3
14,14_1,Unimodal(Video),0,102,103,0,3.4,3.4,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,1
14,14_2,Unimodal(Video),103,637,535,3.44,21.25,17.81,non-violent,0,Combination,,,News+CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,2
14,14_3,Unimodal(Video),638,777,140,21.29,25.93,4.64,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,3
14,14_4,Unimodal(Video),778,850,73,25.96,28.36,2.4,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,4
14,14_5,Unimodal(Video),851,953,103,28.4,31.8,3.4,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,5
14,14_6,Unimodal(Video),954,1050,97,31.83,35.04,3.21,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,6
14,14_7,Unimodal(Video),1051,1221,171,35.07,40.74,5.67,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,7
14,14_8,Unimodal(Video),1227,1432,206,40.94,47.78,6.84,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,8
14,14_9,Unimodal(Video),1433,1502,70,47.81,50.12,2.31,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,9
14,14_10,Unimodal(Video),1503,1563,61,50.15,52.15,2,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,10
14,14_11,Unimodal(Video),1564,2379,816,52.19,79.38,27.19,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,11
14,14_12,Unimodal(Video),2380,2449,70,79.41,81.72,2.31,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,12
14,14_13,Unimodal(Video),2450,3099,650,81.75,103.4,21.65,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,13
14,14_14,Unimodal(Video),3100,3318,219,103.44,110.71,7.27,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,14
14,14_15,Unimodal(Video),3319,3539,221,110.74,118.08,7.34,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,15
14,14_16,Unimodal(Video),3540,3739,200,118.12,124.76,6.64,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,16
14,14_17,Unimodal(Video),3740,3836,97,124.79,127.99,3.2,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14_Homeowner shoots at two suspected thieves rummaging through car.mp4,17
15,15_1,Unimodal(Video),0,91,92,0,3.04,3.04,none,,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,1
15,15_2,Unimodal(Video),92,1180,1089,3.07,39.37,36.3,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,2
15,15_3,Unimodal(Video),1181,1370,190,39.41,45.71,6.3,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,3
15,15_4,Unimodal(Video),1371,1426,56,45.75,47.58,1.83,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,4
15,15_5,Unimodal(Video),1427,2000,574,47.61,66.73,19.12,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15_CCTV of Neighbours in Epic Garden Fight with Numerous Punches And Flying Bricks.mp4,5
16,16_1,Unimodal(Video),0,7,8,0,0.28,0.28,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,1
16,16_2,Unimodal(Video),8,200,193,0.32,8,7.68,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,2
16,16_3,Unimodal(Video),201,693,493,8.04,27.72,19.68,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,3
16,16_4,Unimodal(Video),697,697,1,27.88,27.88,0,none,,Others,,,Black screen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,4
16,16_5,Unimodal(Video),703,732,30,28.12,29.28,1.16,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,5
16,16_6,Unimodal(Video),733,764,32,29.32,30.56,1.24,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,6
16,16_7,Unimodal(Video),765,980,216,30.6,39.2,8.6,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,7
16,16_8,Unimodal(Video),981,1347,367,39.24,53.88,14.64,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,8
16,16_9,Unimodal(Video),1348,1405,58,53.92,56.2,2.28,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,9
16,16_10,Unimodal(Video),1406,1487,82,56.24,59.48,3.24,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,10
16,16_11,Unimodal(Video),1488,1798,311,59.52,71.92,12.4,none,,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16_CCTV shows shocking street brawl involving knives and machetes.mp4,11
17,17_1,Unimodal(Video),0,191,192,0,6.37,6.37,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,1
17,17_2,Unimodal(Video),192,418,227,6.41,13.95,7.54,none,,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,2
17,17_3,Unimodal(Video),419,952,534,13.98,31.77,17.79,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,3
17,17_4,Unimodal(Video),968,1179,212,32.3,39.34,7.04,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,4
17,17_5,Unimodal(Video),1180,1264,85,39.37,42.18,2.81,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,5
17,17_6,Unimodal(Video),1265,1345,81,42.21,44.88,2.67,violent,1,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,6
17,17_7,Unimodal(Video),1346,1691,346,44.91,56.42,11.51,non-violent,0,CCTV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,7
17,17_8,Unimodal(Video),1692,1784,93,56.46,59.53,3.07,non-violent,0,News,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17_Convenience Store Crooks Caught On Camera.mp4,8
